,ITEMNO,DESC1,DESC2,SEARCHTEXT,STOCKINGTYPE,TYPECONVERSION,ITEMCONVERTI,DESC1_1,DESC2_1,SEARCHTEXT_1,STOCKINGTYPE_1
7726,24101202                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 40MM                ,ZINC PLATED [CL8.8]           ,B,6,182672                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 40MM                ,[SS.316]                      ,P
7729,24101203                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 50MM                ,ZINC PLATED [CL8.8]           ,P,3,117622                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.000""           ",[SS.304]                      ,P
7730,24101203                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 50MM                ,ZINC PLATED [CL8.8]           ,P,4,118296                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 50MM                ,[SS.304]                      ,P
7732,24101203                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 50MM                ,ZINC PLATED [CL8.8]           ,P,6,182674                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 50MM                ,[SS.316]                      ,P
7735,24101204                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 60MM                ,ZINC PLATED [CL8.8]           ,P,3,185536                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.500""           ",[SS.304]                      ,B
7736,24101204                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 60MM                ,ZINC PLATED [CL8.8]           ,P,4,117587                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 60MM                ,[SS.304]                      ,P
7741,24101205                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 70MM                ,ZINC PLATED [CL8.8]           ,P,3,117613                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.750""           ",[SS.304]                      ,P
7742,24101205                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 70MM                ,ZINC PLATED [CL8.8]           ,P,4,24106028                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 70MM                ,[SS.304]                      ,P
7744,24101205                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 70MM                ,ZINC PLATED [CL8.8]           ,P,6,182676                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 70MM                ,[SS.316]                      ,P
7747,24101206                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 30MM               ,ZINC PLATED [CL8.8]           ,B,3,24102601                 ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 1.250""           ",[SS.304]                      ,P
