,ITEMNO,DESC1,DESC2,SEARCHTEXT,STOCKINGTYPE,TYPECONVERSION,ITEMCONVERTI,DESC1_1,DESC2_1,SEARCHTEXT_1,STOCKINGTYPE_1
39,107200                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 4.000""            ",[SS.304]                      ,B,2,24104518                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 100MM              ,ZINC PLATED [CL8.8]           ,P
41,107200                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 4.000""            ",[SS.304]                      ,B,4,118588                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 100MM              ,[SS.304]                      ,P
57,107767                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 2.750""            ",ZINC PLATED                   ,B,2,108468                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 70MM               ,ZINC PLATED [CL8.8]           ,P
59,107767                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 2.750""            ",ZINC PLATED                   ,B,4,185744                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 70MM               ,[SS.304]                      ,B
105,108007                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 1.500""            ",[SS.304]                      ,B,2,108467                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 35MM               ,ZINC PLATED [CL8.8]           ,B
107,108007                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 1.500""            ",[SS.304]                      ,B,4,185738                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 35MM               ,[SS.304]                      ,B
207,108502                   ,FRAMING CHANNEL NUT           ,1/4-20UNC;WITH SPRING         ,P4006-1420                    ,P,2,216260                   ,FRAMING CHANNEL NUT           ,M6-1.00                       ,3259T33                       ,P
225,108726                   ,SQ.HD.SET SCREW CUP POINT     ,"5/8-11UNC X 3.500""            ",ZINC PLATED                   ,P,2,123481                   ,SQ.HD.SET SCREW CUP POINT     ,M16-2.00 X 90MM               ,ZINC PLATED                   ,P
227,108726                   ,SQ.HD.SET SCREW CUP POINT     ,"5/8-11UNC X 3.500""            ",ZINC PLATED                   ,P,4,185826                   ,SQ.HD.SET SCREW CUP POINT     ,M16-2.00 X 90MM               ,[SS.304]                      ,B
237,108851                   ,HEX.HD.CAP SCREW              ,"5/16-24UNF X 1.000""           ",[SS.304]                      ,B,2,142924                   ,HEX.HD.CAP SCREW              ,M8-1.00 X 25MM                ,ZINC PLATED [CL8.8]           ,P
243,108896                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 2.000""           ",ZINC PLATED [A574]            ,B,2,185780                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 50MM                ,ZINC PLATED [CL8.8]           ,B
245,108896                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 2.000""           ",ZINC PLATED [A574]            ,B,4,185779                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 50MM                ,[SS.304]                      ,B
281,113472                   ,HEX.SOC.FH.CAP SCREW          ,"1/2-13UNC X 1.750""            ",ZINC PLATED [A574]            ,B,4,185749                   ,HEX.SOC.FH.CAP SCREW          ,M12-1.75 X 45MM               ,[SS.304]                      ,B
331,115898                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 8.000""            ",ZINC PLATED [GR.5]            ,P,2,24104001                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 200MM              ,ZINC PLATED [CL8.8]           ,P
333,115898                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 8.000""            ",ZINC PLATED [GR.5]            ,P,4,118481                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 200MM              ,[SS.304]                      ,P
355,115960                   ,HEX.HD.CAP SCREW              ,"1-8UNC X 2.000""               ",ZINC PLATED [GR.5]            ,B,2,300543                   ,HEX.HD.CAP SCREW              ,M24-3.00 X 50MM               ,ZINC PLATED [CL8.8]           ,P
409,113702                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 3.250""            ",ZINC PLATED [GR.5]            ,B,2,24104501                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 80MM                ,ZINC PLATED [CL8.8]           ,P
411,113702                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 3.250""            ",ZINC PLATED [GR.5]            ,B,4,118059                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 80MM                ,[SS.304]                      ,P
415,113703                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 3.750""            ",ZINC PLATED [GR.5]            ,B,2,185562                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 95MM               ,ZINC PLATED [CL8.8]           ,B
439,113930                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 0.625""            ",ZINC PLATED [GR.5]            ,B,2,24101193                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 16MM                ,ZINC PLATED [CL8.8]           ,B
441,113930                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 0.625""            ",ZINC PLATED [GR.5]            ,B,4,24104921                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 16MM                ,[SS.304]                      ,P
457,114077                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 3.250""            ",ZINC PLATED [GR.5]            ,P,2,24104720                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 80MM               ,ZINC PLATED [CL8.8]           ,B
459,114077                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 3.250""            ",ZINC PLATED [GR.5]            ,P,4,24104779                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 80MM               ,[SS.304]                      ,P
521,107559                   ,HEX.SOC.FH.CAP SCREW          ,"1/2-13UNC X 1.250""            ",[SS.304]                      ,P,2,24104671                 ,HEX.SOC.FH.CAP SCREW          ,M12-1.75 X 30MM               ,ZINC PLATED [CL8.8]           ,P
523,107559                   ,HEX.SOC.FH.CAP SCREW          ,"1/2-13UNC X 1.250""            ",[SS.304]                      ,P,4,185748                   ,HEX.SOC.FH.CAP SCREW          ,M12-1.75 X 30MM               ,[SS.304]                      ,B
527,107563                   ,THREADED ROD-LEFT THD.        ,3/4-10UNC                     ,[SS.304]                      ,P,2,24104969                 ,THREADED ROD-LEFT THD.        ,M20-2.50                      ,ZINC PLATED [CL8.8]           ,P
541,107574                   ,HEX.SOC.SET SCREW CUP POINT   ,"5/8-11UNC X 0.500""            ",[SS.304]                      ,B,4,185792                   ,HEX.SOC.SET SCREW CUP POINT   ,M16-2.00 X 12MM               ,[SS.304]                      ,B
545,107576                   ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 1.000""            ",[SS.304]                      ,B,2,24105021                 ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 25MM                ,ZINC PLATED [CL8.8]           ,B
547,107576                   ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 1.000""            ",[SS.304]                      ,B,4,24104823                 ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 25MM                ,[SS.304]                      ,P
563,107689                   ,HEX.JAM NUT                   ,5/8-18UNF                     ,ZINC PLATED [GR.5]            ,B,2,181671                   ,HEX.JAM NUT                   ,M16-1.50                      ,ZINC PLATED [CL8.8]           ,P
565,107689                   ,HEX.JAM NUT                   ,5/8-18UNF                     ,ZINC PLATED [GR.5]            ,B,4,182679                   ,HEX.JAM NUT                   ,M16-1.50                      ,[SS.304]                      ,B
575,107691                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 3.000""            ",[SS.304]                      ,B,2,117876                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 75MM               ,ZINC PLATED [CL8.8]           ,P
577,107691                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 3.000""            ",[SS.304]                      ,B,4,118418                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 75MM               ,[SS.304]                      ,P
581,107697                   ,HEX.SOC.CAP SCREW             ,"3/8-16UNC X 2.250""            ",ZINC PLATED [A574]            ,B,2,24104593                 ,HEX.SOC.CAP SCREW             ,M10-1.50 X 60MM               ,ZINC PLATED [CL8.8]           ,P
583,107697                   ,HEX.SOC.CAP SCREW             ,"3/8-16UNC X 2.250""            ",ZINC PLATED [A574]            ,B,4,24106080                 ,HEX.SOC.CAP SCREW             ,M10-1.50 X 60MM               ,[SS.304]                      ,P
587,107698                   ,HEX.SOC.CAP SCREW             ,"#10-32UNF X 1.000""            ",ZINC PLATED [A574]            ,B,2,24100241                 ,HEX.SOC.CAP SCREW             ,M5-0.80 X 25MM                ,ZINC PLATED [CL8.8]           ,B
589,107698                   ,HEX.SOC.CAP SCREW             ,"#10-32UNF X 1.000""            ",ZINC PLATED [A574]            ,B,4,24104801                 ,HEX.SOC.CAP SCREW             ,M5-0.80 X 25MM                ,[SS.304]                      ,P
591,107698                   ,HEX.SOC.CAP SCREW             ,"#10-32UNF X 1.000""            ",ZINC PLATED [A574]            ,B,6,182701                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 25MM                ,[SS.316]                      ,P
625,105990                   ,HEX.HD.CAP SCREW              ,"7/8-9UNC X 2.500""             ",ZINC PLATED [GR.5]            ,B,2,24101734                 ,HEX.HD.CAP SCREW              ,M22-2.50 X 60MM               ,ZINC PLATED [CL8.8]           ,P
631,106007                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 1.750""            ",ZINC PLATED [GR.5]            ,B,2,200082                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 45MM               ,ZINC PLATED [CL8.8]           ,P
633,106007                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 1.750""            ",ZINC PLATED [GR.5]            ,B,4,185584                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 45MM               ,[SS.304]                      ,B
679,117634                   ,HEX.JAM NUT                   ,1-8UNC                        ,[SS.304]                      ,P,2,24104703                 ,HEX.JAM NUT                   ,M24-3.00                      ,ZINC PLATED [CL8.8]           ,P
681,117634                   ,HEX.JAM NUT                   ,1-8UNC                        ,[SS.304]                      ,P,4,24104895                 ,HEX.JAM NUT                   ,M24-3.00                      ,[SS.304]                      ,P
685,117651                   ,HEX.JAM NUT                   ,1/2-13UNC                     ,[SS.304]                      ,P,2,24104700                 ,HEX.JAM NUT                   ,M12-1.75                      ,ZINC PLATED [CL8.8]           ,P
687,117651                   ,HEX.JAM NUT                   ,1/2-13UNC                     ,[SS.304]                      ,P,4,118476                   ,HEX.JAM NUT                   ,M12-1.75                      ,[SS.304]                      ,P
691,117652                   ,HEX.JAM NUT                   ,5/16-18UNC                    ,[SS.304]                      ,P,2,24104526                 ,HEX.JAM NUT                   ,M8-1.25                       ,ZINC PLATED [CL8.8]           ,P
693,117652                   ,HEX.JAM NUT                   ,5/16-18UNC                    ,[SS.304]                      ,P,4,172606                   ,HEX.JAM NUT                   ,M8-1.25                       ,[SS.304]                      ,P
703,117654                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 0.750""            ",[SS.304]                      ,P,2,24104509                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 20MM               ,ZINC PLATED [CL8.8]           ,P
705,117654                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 0.750""            ",[SS.304]                      ,P,4,185557                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 20MM               ,[SS.304]                      ,B
709,117655                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.750""            ",[SS.304]                      ,P,2,24101450                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 70MM                ,ZINC PLATED [CL8.8]           ,P
711,117655                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.750""            ",[SS.304]                      ,P,4,118479                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 70MM                ,[SS.304]                      ,P
713,117655                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.750""            ",[SS.304]                      ,P,6,182667                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 70MM                ,[SS.316]                      ,P
715,117656                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 4.000""           ",[SS.304]                      ,P,2,116363                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 100MM               ,ZINC PLATED [CL8.8]           ,P
717,117656                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 4.000""           ",[SS.304]                      ,P,4,119172                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 100MM               ,[SS.304]                      ,P
721,117659                   ,HEX.SOC.FH.CAP SCREW          ,"#10-24UNC X 0.750""            ",[SS.304]                      ,B,2,24104731                 ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 20MM                ,ZINC PLATED [CL8.8]           ,P
723,117659                   ,HEX.SOC.FH.CAP SCREW          ,"#10-24UNC X 0.750""            ",[SS.304]                      ,B,4,24104830                 ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 20MM                ,[SS.304]                      ,P
727,117660                   ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 2.500""            ",[SS.304]                      ,P,2,24101855                 ,HEX.SOC.CAP SCREW             ,M6-1.00 X 60MM                ,ZINC PLATED [CL8.8]           ,P
755,116405                   ,HEX.SOC.SET SCREW CUP POINT   ,"5/8-11UNC X 0.750""            ",ZINC PLATED [A574]            ,P,2,113967                   ,HEX.SOC.SET SCREW CUP POINT   ,M16-2.00 X 20MM               ,ZINC PLATED [CL8.8]           ,P
773,116850                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,"5/16-18UNC X 1.000""           ",ZINC PLATED                   ,B,2,181731                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M8-1.25 X 25MM                ,ZINC PLATED                   ,P
779,116968                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 1.000""            ",ZINC PLATED                   ,B,2,24101191                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 25MM                ,ZINC PLATED [CL8.8]           ,P
781,116968                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 1.000""            ",ZINC PLATED                   ,B,4,24104783                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 25MM                ,[SS.304]                      ,P
797,117149                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 6.000""           ",ZINC PLATED [GR.5]            ,P,2,215820                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 150MM               ,ZINC PLATED [CL8.8]           ,B
803,117320                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 4.000""           ",ZINC PLATED [A574]            ,P,2,181518                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 100MM               ,ZINC PLATED [CL8.8]           ,P
805,117320                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 4.000""           ",ZINC PLATED [A574]            ,P,4,185772                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 100MM               ,[SS.304]                      ,B
815,117463                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 1.750""            ",[SS.304]                      ,P,2,24104718                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 45MM               ,ZINC PLATED [CL8.8]           ,B
817,117463                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 1.750""            ",[SS.304]                      ,P,4,24104866                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 45MM               ,[SS.304]                      ,P
821,117464                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 1.750""            ",[SS.304]                      ,P,2,185620                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 45MM               ,ZINC PLATED [CL8.8]           ,B
823,117464                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 1.750""            ",[SS.304]                      ,P,4,185619                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 45MM               ,[SS.304]                      ,B
839,117531                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 0.750""            ",ZINC PLATED                   ,P,2,24101190                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 20MM                ,ZINC PLATED [CL8.8]           ,P
841,117531                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 0.750""            ",ZINC PLATED                   ,P,4,24104782                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 20MM                ,[SS.304]                      ,P
843,117531                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 0.750""            ",ZINC PLATED                   ,P,6,182658                   ,HEX.HD.CAP SCREW              ,M5-0.80 X 20MM                ,[SS.316]                      ,P
845,117533                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 2.000""           ",[SS.304]                      ,P,2,185780                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 50MM                ,ZINC PLATED [CL8.8]           ,B
847,117533                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 2.000""           ",[SS.304]                      ,P,4,185779                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 50MM                ,[SS.304]                      ,B
851,117539                   ,HEX.SOC.CAP SCREW             ,"3/8-16UNC X 1.750""            ",ZINC PLATED [A574]            ,B,2,113497                   ,HEX.SOC.CAP SCREW             ,M10-1.50 X 45MM               ,ZINC PLATED [CL8.8]           ,P
853,117539                   ,HEX.SOC.CAP SCREW             ,"3/8-16UNC X 1.750""            ",ZINC PLATED [A574]            ,B,4,118797                   ,HEX.SOC.CAP SCREW             ,M10-1.50 X 45MM               ,[SS.304]                      ,P
857,117586                   ,HEX.SOC.SET SCREW CUP POINT   ,"#10-24UNC X 0.750""            ",[SS.304]                      ,P,2,24104626                 ,HEX.SOC.SET SCREW CUP POINT   ,M5-0.80 X 20MM                ,ZINC PLATED [CL8.8]           ,P
859,117586                   ,HEX.SOC.SET SCREW CUP POINT   ,"#10-24UNC X 0.750""            ",[SS.304]                      ,P,4,118121                   ,HEX.SOC.SET SCREW CUP POINT   ,M5-0.80 X 20MM                ,[SS.304]                      ,P
869,117588                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/4-20UNC X 0.750""            ",[SS.304]                      ,P,2,24101853                 ,HEX.SOC.SET SCREW CUP POINT   ,M6-1.00 X 20MM                ,ZINC PLATED [CL8.8]           ,P
871,117588                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/4-20UNC X 0.750""            ",[SS.304]                      ,P,4,24104862                 ,HEX.SOC.SET SCREW CUP POINT   ,M6-1.00 X 20MM                ,[SS.304]                      ,P
875,117589                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.250""            ",[SS.304]                      ,P,2,118845                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 60MM                ,ZINC PLATED [CL8.8]           ,P
877,117589                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.250""            ",[SS.304]                      ,P,4,118846                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 60MM                ,[SS.304]                      ,P
879,117589                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.250""            ",[SS.304]                      ,P,6,182666                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 60MM                ,[SS.316]                      ,P
881,117590                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 1.250""            ",[SS.304]                      ,B,2,185702                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 30MM                ,ZINC PLATED [CL8.8]           ,B
883,117590                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 1.250""            ",[SS.304]                      ,B,4,185701                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 30MM                ,[SS.304]                      ,B
887,117591                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 4.500""            ",[SS.304]                      ,B,2,24101753                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 120MM              ,ZINC PLATED [CL8.8]           ,P
889,117591                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 4.500""            ",[SS.304]                      ,B,4,118590                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 120MM              ,[SS.304]                      ,P
891,117591                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 4.500""            ",[SS.304]                      ,B,6,182652                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 120MM              ,[SS.316]                      ,P
893,117592                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 3.500""            ",[SS.304]                      ,P,2,24104519                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 90MM               ,ZINC PLATED [CL8.8]           ,P
895,117592                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 3.500""            ",[SS.304]                      ,P,4,118589                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 90MM               ,[SS.304]                      ,P
899,117609                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 3.000""            ",[SS.304]                      ,P,2,24104513                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 75MM               ,ZINC PLATED [CL8.8]           ,B
901,117609                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 3.000""            ",[SS.304]                      ,P,4,185560                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 75MM               ,[SS.304]                      ,B
917,117613                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.750""           ",[SS.304]                      ,P,2,24101205                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 70MM                ,ZINC PLATED [CL8.8]           ,P
919,117613                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.750""           ",[SS.304]                      ,P,4,24106028                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 70MM                ,[SS.304]                      ,P
921,117613                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.750""           ",[SS.304]                      ,P,6,182676                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 70MM                ,[SS.316]                      ,P
925,117614                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/4-20UNC X 0.375""            ",[SS.304]                      ,P,4,24104712                 ,HEX.SOC.SET SCREW CUP POINT   ,M6-1.00 X 10MM                ,[SS.304]                      ,P
929,117615                   ,HEX.JAM NUT                   ,1/2-20UNF                     ,[SS.304]                      ,P,2,300293                   ,HEX.JAM NUT                   ,M12-1.25                      ,ZINC PLATED [CL8.8]           ,P
931,117615                   ,HEX.JAM NUT                   ,1/2-20UNF                     ,[SS.304]                      ,P,4,185639                   ,HEX.JAM NUT                   ,M12-1.25                      ,[SS.304]                      ,B
933,117615                   ,HEX.JAM NUT                   ,1/2-20UNF                     ,[SS.304]                      ,P,6,185311                   ,HEX.JAM NUT                   ,M12-1.25                      ,[SS.316]                      ,P
935,117616                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 1.250""           ",[SS.304]                      ,P,2,107233                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 30MM                ,ZINC PLATED [CL8.8]           ,P
937,117616                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 1.250""           ",[SS.304]                      ,P,4,185777                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 30MM                ,[SS.304]                      ,B
941,117617                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 1.500""           ",[SS.304]                      ,P,2,118478                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 35MM                ,ZINC PLATED [CL8.8]           ,P
943,117617                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 1.500""           ",[SS.304]                      ,P,4,118477                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 35MM                ,[SS.304]                      ,P
959,117620                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 2.250""            ",[SS.304]                      ,P,2,24101720                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 60MM               ,ZINC PLATED [CL8.8]           ,P
961,117620                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 2.250""            ",[SS.304]                      ,P,4,24104865                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 60MM               ,[SS.304]                      ,P
963,117620                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 2.250""            ",[SS.304]                      ,P,6,182654                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 60MM               ,[SS.316]                      ,P
965,117621                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 3.000""            ",[SS.304]                      ,P,2,185596                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 75MM                ,ZINC PLATED [CL8.8]           ,B
967,117621                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 3.000""            ",[SS.304]                      ,P,4,118570                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 75MM                ,[SS.304]                      ,P
971,117622                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.000""           ",[SS.304]                      ,P,2,24101203                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 50MM                ,ZINC PLATED [CL8.8]           ,P
973,117622                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.000""           ",[SS.304]                      ,P,4,118296                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 50MM                ,[SS.304]                      ,P
975,117622                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.000""           ",[SS.304]                      ,P,6,182674                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 50MM                ,[SS.316]                      ,P
