,ITEMNO,SEARCHTEXT,TYPECONVERSION,ITEMCONVERTI,SEARCHTEXT_1,MATERIAL_1,MATERIAL_2,Unnamed: 0,material_jde
5689,184837,[SS.304],4,185510,[SS.304],SS304,SS304,10590.0,[SS.304]
5707,184996,[SS.304],4,185508,[SS.304],SS304,SS304,10586.0,[SS.304]
5713,185012,[SS.304],4,24104980,[SS.304],SS304,SS304,43402.0,[SS.304]
5775,185535,[SS.304],4,185542,[SS.304],SS304,SS304,41467.0,[SS.304]
5781,185536,[SS.304],4,117587,[SS.304],SS304,SS304,41865.0,[SS.304]
5787,185537,[SS.304],4,24104786,[SS.304],SS304,SS304,41835.0,[SS.304]
5793,185538,[SS.304],4,107492,[SS.304],SS304,SS304,41638.0,[SS.304]
5799,185539,[SS.304],4,24104779,[SS.304],SS304,SS304,41663.0,[SS.304]
5847,185521,[SS.304],4,24104783,[SS.304],SS304,SS304,41756.0,[SS.304]
5853,185522,[SS.304],4,185589,[SS.304],SS304,SS304,41758.0,[SS.304]
5859,185523,[SS.304],4,24104764,[SS.304],SS304,SS304,41586.0,[SS.304]
5871,185525,[SS.304],4,118059,[SS.304],SS304,SS304,41813.0,[SS.304]
5877,185526,[SS.304],4,185597,[SS.304],SS304,SS304,41816.0,[SS.304]
5889,185528,[SS.304],4,185580,[SS.304],SS304,SS304,41697.0,[SS.304]
5895,185529,[SS.304],4,185584,[SS.304],SS304,SS304,41705.0,[SS.304]
5901,185530,[SS.304],4,185588,[SS.304],SS304,SS304,41716.0,[SS.304]
5907,185531,[SS.304],4,186339,[SS.304],SS304,SS304,41685.0,[SS.304]
5913,185532,[SS.304],4,185576,[SS.304],SS304,SS304,41691.0,[SS.304]
5925,185534,[SS.304],4,185548,[SS.304],SS304,SS304,41483.0,[SS.304]
5935,185073,[SS.304],4,185512,[SS.304],SS304,SS304,10594.0,[SS.304]
5941,185074,[SS.304],4,24104826,[SS.304],SS304,SS304,43339.0,[SS.304]
5959,185210,[SS.304],4,185651,[SS.304],SS304,SS304,42256.0,[SS.304]
5979,185219,[SS.316],6,182734,[SS.316],SS316,SS316,101251.0,[SS.316]
5997,185222,[SS.316],6,182633,[SS.316],SS316,SS316,41492.0,[SS.316]
6003,185223,[SS.316],6,182644,[SS.316],SS316,SS316,41566.0,[SS.316]
6009,185224,[SS.316],6,182739,[SS.316],SS316,SS316,101279.0,[SS.316]
6021,185226,[SS.316],6,182704,[SS.316],SS316,SS316,43028.0,[SS.316]
6027,185232,[SS.316],6,182735,[SS.316],SS316,SS316,101255.0,[SS.316]
6055,185495,[SS.304],4,185513,[SS.304],SS304,SS304,10604.0,[SS.304]
6061,185496,[SS.304],4,185516,[SS.304],SS304,SS304,10609.0,[SS.304]
6067,185497,[SS.304],4,185504,[SS.304],SS304,SS304,10580.0,[SS.304]
6073,185498,[SS.304],4,185519,[SS.304],SS304,SS304,10622.0,[SS.304]
6481,24100168,ZINC PLATED,2,24101221,ZINC PLATED,ZINC,ZINC,101274.0,ZINC PLATED
6498,24101086,ZINC PLATED,2,185818,ZINC PLATED,ZINC,ZINC,77951.0,ZINC PLATED
6540,24101114,ZINC PLATED,2,185814,ZINC PLATED,ZINC,ZINC,77944.0,ZINC PLATED
6560,24101574,ZINC PLATED,2,185811,ZINC PLATED,ZINC,ZINC,77940.0,ZINC PLATED
6718,24101120,ZINC PLATED,2,185820,ZINC PLATED,ZINC,ZINC,77953.0,ZINC PLATED
6724,24101121,ZINC PLATED,2,182018,ZINC PLATED,ZINC,ZINC,77954.0,ZINC PLATED
6770,24101621,[SS.304],4,24104888,[SS.304],SS304,SS304,43021.0,[SS.304]
6776,24101622,[SS.304],4,24104791,[SS.304],SS304,SS304,43027.0,[SS.304]
6782,24101624,[SS.304],4,24104794,[SS.304],SS304,SS304,43035.0,[SS.304]
6885,24100296,ZINC PLATED,2,185117,ZINC PLATED,ZINC,ZINC,77945.0,ZINC PLATED
6914,24101128,ZINC PLATED,2,182128,ZINC PLATED,ZINC,ZINC,77938.0,ZINC PLATED
7065,24100337,[SS.304],4,185750,[SS.304],SS304,SS304,43297.0,[SS.304]
7087,24100346,ZINC PLATED,2,181732,ZINC PLATED,ZINC,ZINC,77942.0,ZINC PLATED
7093,24100347,ZINC PLATED,2,185117,ZINC PLATED,ZINC,ZINC,77945.0,ZINC PLATED
7158,24101179,ZINC PLATED,2,24104552,ZINC PLATED,ZINC,ZINC,101258.0,ZINC PLATED
7599,24101765,ZINC PLATED,2,185811,ZINC PLATED,ZINC,ZINC,77940.0,ZINC PLATED
7617,24101792,ZINC PLATED,2,158770,ZINC PLATED,ZINC,ZINC,86885.0,ZINC PLATED
7781,24101939,[SS.304],4,24103215,[SS.304],SS304,SS304,41782.0,[SS.304]
7787,24101940,[SS.304],4,24104890,[SS.304],SS304,SS304,42302.0,[SS.304]
7793,24101941,[SS.304],4,24104801,[SS.304],SS304,SS304,42989.0,[SS.304]
7986,24101633,[SS.304],4,185796,[SS.304],SS304,SS304,43555.0,[SS.304]
8004,24101679,[SS.304],4,24104372,[SS.304],SS304,SS304,43559.0,[SS.304]
8191,24101581,ZINC PLATED,2,24104543,ZINC PLATED,ZINC,ZINC,101270.0,ZINC PLATED
8197,24101582,ZINC PLATED,2,24101221,ZINC PLATED,ZINC,ZINC,101274.0,ZINC PLATED
8203,24101583,ZINC PLATED,2,24101222,ZINC PLATED,ZINC,ZINC,101277.0,ZINC PLATED
8286,24100056,ZINC PLATED,2,24101223,ZINC PLATED,ZINC,ZINC,101280.0,ZINC PLATED
8329,24100874,ZINC PLATED,2,182126,ZINC PLATED,ZINC,ZINC,77949.0,ZINC PLATED
8371,24101260,[SS.304],4,185752,[SS.304],SS304,SS304,43299.0,[SS.304]
8445,24100057,ZINC PLATED,2,24101224,ZINC PLATED,ZINC,ZINC,101283.0,ZINC PLATED
8451,24100058,ZINC PLATED,2,24104548,ZINC PLATED,ZINC,ZINC,101252.0,ZINC PLATED
8457,24100059,ZINC PLATED,2,24104548,ZINC PLATED,ZINC,ZINC,101252.0,ZINC PLATED
8463,24100060,ZINC PLATED,2,24103107,ZINC PLATED,ZINC,ZINC,101256.0,ZINC PLATED
8469,24100061,ZINC PLATED,2,24101717,ZINC PLATED,ZINC,ZINC,101261.0,ZINC PLATED
8475,24100062,ZINC PLATED,2,24104551,ZINC PLATED,ZINC,ZINC,101266.0,ZINC PLATED
8555,24101286,[SS.304],4,24104371,[SS.304],SS304,SS304,43323.0,[SS.304]
8768,24101340,ZINC PLATED,2,24104704,ZINC PLATED,ZINC,ZINC,101268.0,ZINC PLATED
8922,24101017,ZINC PLATED,2,185825,ZINC PLATED,ZINC,ZINC,86877.0,ZINC PLATED
8952,24101025,ZINC PLATED,2,24104664,ZINC PLATED,ZINC,ZINC,86878.0,ZINC PLATED
9112,24101026,ZINC PLATED,2,24104620,ZINC PLATED,ZINC,ZINC,86873.0,ZINC PLATED
9531,222465,[SS.304],4,24104802,[SS.304],SS304,SS304,42994.0,[SS.304]
9783,185611,[SS.304],4,185621,[SS.304],SS304,SS304,41970.0,[SS.304]
9789,185612,[SS.304],4,185623,[SS.304],SS304,SS304,41974.0,[SS.304]
9801,185614,[SS.304],4,185632,[SS.304],SS304,SS304,41989.0,[SS.304]
10101,208267,[SS.304],4,213279,[SS.304],SS304,SS304,41472.0,[SS.304]
10175,218623,ZINC PLATED,2,163155,ZINC PLATED,ZINC,ZINC,42557.0,ZINC PLATED
10321,209090,ZINC PLATED,2,220461,ZINC PLATED,ZINC,ZINC,42564.0,ZINC PLATED
10431,185646,[SS.304],4,185654,[SS.304],SS304,SS304,42288.0,[SS.304]
10437,185647,[SS.304],4,185655,[SS.304],SS304,SS304,42294.0,[SS.304]
10443,185648,[SS.304],4,185655,[SS.304],SS304,SS304,42294.0,[SS.304]
10449,185649,[SS.304],4,147299,[SS.304],SS304,SS304,42277.0,[SS.304]
10455,185650,[SS.304],4,24104842,[SS.304],SS304,SS304,42251.0,[SS.304]
10467,185787,[SS.304],4,24104932,[SS.304],SS304,SS304,43520.0,[SS.304]
10473,185788,[SS.304],4,24104886,[SS.304],SS304,SS304,43580.0,[SS.304]
10479,185789,[SS.304],4,185793,[SS.304],SS304,SS304,43543.0,[SS.304]
10603,219986,[SS.304],4,24104820,[SS.304],SS304,SS304,42937.0,[SS.304]
10647,185656,[SS.304],4,185657,[SS.304],SS304,SS304,42434.0,[SS.304]
10707,185801,[SS.304],4,185812,[SS.304],SS304,SS304,77941.0,[SS.304]
10713,185802,[SS.304],4,185813,[SS.304],SS304,SS304,77943.0,[SS.304]
10833,185661,[SS.304],4,185666,[SS.304],SS304,SS304,42561.0,[SS.304]
10869,185667,[SS.304],4,185700,[SS.304],SS304,SS304,42977.0,[SS.304]
10875,185803,[SS.304],4,185810,[SS.304],SS304,SS304,77939.0,[SS.304]
10881,185804,[SS.304],4,185808,[SS.304],SS304,SS304,77937.0,[SS.304]
10887,185805,[SS.304],4,185815,[SS.304],SS304,SS304,77946.0,[SS.304]
10893,185806,[SS.304],4,185816,[SS.304],SS304,SS304,77948.0,[SS.304]
10899,185807,[SS.304],4,185819,[SS.304],SS304,SS304,77952.0,[SS.304]
10953,210805,[SS.304],4,212393,[SS.304],SS304,SS304,41952.0,[SS.304]
11031,185668,[SS.304],4,24104800,[SS.304],SS304,SS304,42984.0,[SS.304]
11037,185669,[SS.304],4,24104803,[SS.304],SS304,SS304,42998.0,[SS.304]
11043,185670,[SS.304],4,185699,[SS.304],SS304,SS304,42969.0,[SS.304]
11049,185671,[SS.304],4,24104709,[SS.304],SS304,SS304,42942.0,[SS.304]
11055,185672,[SS.304],4,24104819,[SS.304],SS304,SS304,42949.0,[SS.304]
11061,185673,[SS.304],4,185694,[SS.304],SS304,SS304,42952.0,[SS.304]
11067,185674,[SS.304],4,184799,[SS.304],SS304,SS304,42961.0,[SS.304]
11073,185675,[SS.304],4,185699,[SS.304],SS304,SS304,42969.0,[SS.304]
11079,185676,[SS.304],4,24104820,[SS.304],SS304,SS304,42937.0,[SS.304]
11133,185821,[SS.304],4,185824,[SS.304],SS304,SS304,86876.0,[SS.304]
11179,212212,ZINC PLATED,2,220410,ZINC PLATED,ZINC,ZINC,42556.0,ZINC PLATED
11241,185677,[SS.304],4,185694,[SS.304],SS304,SS304,42952.0,[SS.304]
11247,185678,[SS.304],4,185696,[SS.304],SS304,SS304,42959.0,[SS.304]
11253,185679,[SS.304],4,185688,[SS.304],SS304,SS304,42864.0,[SS.304]
11259,185680,[SS.304],4,185710,[SS.304],SS304,SS304,43039.0,[SS.304]
11265,185681,[SS.304],4,24104796,[SS.304],SS304,SS304,43046.0,[SS.304]
11295,185822,[SS.304],4,185826,[SS.304],SS304,SS304,86883.0,[SS.304]
11325,185833,[SS.304],4,185836,[SS.304],SS304,SS304,101269.0,[SS.304]
11727,186233,[SS.304],4,182679,[SS.304],SS304,SS304,42108.0,[SS.304]
11929,192405,ZINC PLATED,2,221437,ZINC PLATED,ZINC,ZINC,43699.0,ZINC PLATED
11993,215097,[SS.316],6,182686,[SS.316],SS316,SS316,42432.0,[SS.316]
12105,185718,[SS.304],4,185758,[SS.304],SS304,SS304,43346.0,[SS.304]
12111,185719,[SS.304],4,136858,[SS.304],SS304,SS304,43348.0,[SS.304]
12117,185720,[SS.304],4,185761,[SS.304],SS304,SS304,43350.0,[SS.304]
12279,185721,[SS.304],4,185755,[SS.304],SS304,SS304,43320.0,[SS.304]
12285,185722,[SS.304],4,24104824,[SS.304],SS304,SS304,43293.0,[SS.304]
12291,185723,[SS.304],4,185763,[SS.304],SS304,SS304,43369.0,[SS.304]
12303,185725,[SS.304],4,185737,[SS.304],SS304,SS304,43264.0,[SS.304]
12309,185726,[SS.304],4,185740,[SS.304],SS304,SS304,43273.0,[SS.304]
12315,185727,[SS.304],4,185744,[SS.304],SS304,SS304,43279.0,[SS.304]
12321,185728,[SS.304],4,185734,[SS.304],SS304,SS304,43257.0,[SS.304]
12327,185729,[SS.304],4,185773,[SS.304],SS304,SS304,43394.0,[SS.304]
12417,216054,[SS.304],4,118419,[SS.304],SS304,SS304,41963.0,[SS.304]
12489,185730,[SS.304],4,185775,[SS.304],SS304,SS304,43400.0,[SS.304]
12495,185731,[SS.304],4,24104831,[SS.304],SS304,SS304,43410.0,[SS.304]
12501,185732,[SS.304],4,185783,[SS.304],SS304,SS304,43416.0,[SS.304]
12507,185733,[SS.304],4,185784,[SS.304],SS304,SS304,43418.0,[SS.304]
12597,216341,[SS.304],4,24104861,[SS.304],SS304,SS304,43570.0,[SS.304]
12748,24105887,[SS.304],4,120889,[SS.304],SS304,SS304,43033.0,[SS.304]
12814,24105998,[SS.304],4,185691,[SS.304],SS304,SS304,42878.0,[SS.304]
12820,24105999,[SS.304],4,185756,[SS.304],SS304,SS304,43328.0,[SS.304]
12832,24106017,[SS.304],4,185550,[SS.304],SS304,SS304,41524.0,[SS.304]
12838,24106018,[SS.304],4,107229,[SS.304],SS304,SS304,41505.0,[SS.304]
12944,24106216,ZINC PLATED,2,113543,ZINC PLATED,ZINC,ZINC,86880.0,ZINC PLATED
13042,24106862,[SS.304],4,24104776,[SS.304],SS304,SS304,41850.0,[SS.304]
13216,24107431,[SS.304],4,118415,[SS.304],SS304,SS304,41565.0,[SS.304]
13316,24109071,ZINC PLATED,2,166694,ZINC PLATED,ZINC,ZINC,42551.0,ZINC PLATED
13547,24102196,[SS.304],4,24104810,[SS.304],SS304,SS304,43072.0,[SS.304]
13553,24102198,[SS.304],4,185716,[SS.304],SS304,SS304,43070.0,[SS.304]
13559,24102200,[SS.304],4,24104815,[SS.304],SS304,SS304,43067.0,[SS.304]
13565,24102201,[SS.304],4,185715,[SS.304],SS304,SS304,43060.0,[SS.304]
13571,24102202,[SS.304],4,24104817,[SS.304],SS304,SS304,43080.0,[SS.304]
13577,24102205,[SS.304],4,24104818,[SS.304],SS304,SS304,43090.0,[SS.304]
13589,24102207,[SS.304],4,24104814,[SS.304],SS304,SS304,43065.0,[SS.304]
13595,24102208,[SS.304],4,118591,[SS.304],SS304,SS304,43056.0,[SS.304]
13603,24103209,[SS.304],4,24104869,[SS.304],SS304,SS304,41491.0,[SS.304]
13609,24103210,[SS.304],4,185757,[SS.304],SS304,SS304,43337.0,[SS.304]
13615,24103213,[SS.304],4,24104925,[SS.304],SS304,SS304,41559.0,[SS.304]
13627,24103217,[SS.304],4,156566,[SS.304],SS304,SS304,43326.0,[SS.304]
13633,24103218,[SS.304],4,185757,[SS.304],SS304,SS304,43337.0,[SS.304]
13639,24103220,[SS.304],4,185736,[SS.304],SS304,SS304,43262.0,[SS.304]
13645,24103223,[SS.304],4,24104534,[SS.304],SS304,SS304,42465.0,[SS.304]
