,ITEMNO,DESC1,DESC2,SEARCHTEXT,STOCKINGTYPE,TYPECONVERSION,ITEMCONVERTI,DESC1_1,DESC2_1,SEARCHTEXT_1,STOCKINGTYPE_1,MATERIAL_1,MATERIAL_2
937,117616                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 1.250""           ",[SS.304],P,4,185777                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 30MM                ,[SS.304],B,SS304,SS304
941,117617                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 1.500""           ",[SS.304],P,2,118478                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 35MM                ,[SS.304],P,SS304,SS304
943,117617                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 1.500""           ",[SS.304],P,4,118477                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 35MM                ,[SS.304],P,SS304,SS304
959,117620                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 2.250""            ",[SS.304],P,2,24101720                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 60MM               ,[SS.304],P,SS304,SS304
961,117620                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 2.250""            ",[SS.304],P,4,24104865                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 60MM               ,[SS.304],P,SS304,SS304
963,117620                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 2.250""            ",[SS.304],P,6,182654                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 60MM               ,[SS.304],P,SS304,SS304
965,117621                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 3.000""            ",[SS.304],P,2,185596                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 75MM                ,[SS.304],B,SS304,SS304
967,117621                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 3.000""            ",[SS.304],P,4,118570                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 75MM                ,[SS.304],P,SS304,SS304
971,117622                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.000""           ",[SS.304],P,2,24101203                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 50MM                ,[SS.304],P,SS304,SS304
973,117622                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.000""           ",[SS.304],P,4,118296                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 50MM                ,[SS.304],P,SS304,SS304
975,117622                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.000""           ",[SS.304],P,6,182674                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 50MM                ,[SS.304],P,SS304,SS304
977,117623                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 1.500""            ",[SS.304],P,2,24101197                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 35MM                ,[SS.304],P,SS304,SS304
979,117623                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 1.500""            ",[SS.304],P,4,24104892                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 35MM                ,[SS.304],P,SS304,SS304
981,117623                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 1.500""            ",[SS.304],P,6,182664                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 35MM                ,[SS.304],P,SS304,SS304
983,117624                   ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 2.750""            ",[SS.304],P,2,24104337                 ,HEX.SOC.CAP SCREW             ,M6-1.00 X 70MM                ,[SS.304],P,SS304,SS304
985,117624                   ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 2.750""            ",[SS.304],P,4,24104792                 ,HEX.SOC.CAP SCREW             ,M6-1.00 X 70MM                ,[SS.304],P,SS304,SS304
989,117625                   ,HEX.SOC.SET SCREW CUP POINT   ,"#6-32UNC X 0.250""             ",[SS.304],P,2,185795                   ,HEX.SOC.SET SCREW CUP POINT   ,M4-0.70 X 6MM                 ,[SS.304],B,SS304,SS304
991,117625                   ,HEX.SOC.SET SCREW CUP POINT   ,"#6-32UNC X 0.250""             ",[SS.304],P,4,185794                   ,HEX.SOC.SET SCREW CUP POINT   ,M4-0.70 X 6MM                 ,[SS.304],B,SS304,SS304
995,117626                   ,HEX.SOC.CAP SCREW             ,"3/8-16UNC X 1.500""            ",[SS.304],P,2,24104742                 ,HEX.SOC.CAP SCREW             ,M10-1.50 X 35MM               ,[SS.304],P,SS304,SS304
997,117626                   ,HEX.SOC.CAP SCREW             ,"3/8-16UNC X 1.500""            ",[SS.304],P,4,117113                   ,HEX.SOC.CAP SCREW             ,M10-1.50 X 35MM               ,[SS.304],P,SS304,SS304
1001,117627                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 2.750""            ",[SS.304],P,2,107781                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 70MM               ,[SS.304],B,SS304,SS304
1003,117627                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 2.750""            ",[SS.304],P,4,118178                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 70MM               ,[SS.304],P,SS304,SS304
1007,117628                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 2.250""            ",[SS.304],P,2,139535                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 60MM               ,[SS.304],P,SS304,SS304
1009,117628                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 2.250""            ",[SS.304],P,4,117619                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 60MM               ,[SS.304],P,SS304,SS304
1011,117628                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 2.250""            ",[SS.304],P,6,182648                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 60MM               ,[SS.304],P,SS304,SS304
1013,117629                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 2.500""            ",[SS.304],P,2,185743                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 60MM               ,[SS.304],B,SS304,SS304
1015,117629                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 2.500""            ",[SS.304],P,4,185742                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 60MM               ,[SS.304],B,SS304,SS304
1019,117630                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 3.250""            ",[SS.304],P,2,24104504                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 80MM               ,[SS.304],B,SS304,SS304
1021,117630                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 3.250""            ",[SS.304],P,4,24104771                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 80MM               ,[SS.304],P,SS304,SS304
1023,117630                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 3.250""            ",[SS.304],P,6,182639                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 80MM               ,[SS.304],P,SS304,SS304
1025,117631                   ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 3.000""           ",[SS.304],P,2,117876                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 75MM               ,[SS.304],P,SS304,SS304
1027,117631                   ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 3.000""           ",[SS.304],P,4,118418                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 75MM               ,[SS.304],P,SS304,SS304
1031,117632                   ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 1.000""           ",[SS.304],P,2,24100791                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 25MM               ,[SS.304],B,SS304,SS304
1033,117632                   ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 1.000""           ",[SS.304],P,4,24104869                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 25MM               ,[SS.304],P,SS304,SS304
1035,117632                   ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 1.000""           ",[SS.304],P,6,182633                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 25MM               ,[SS.304],P,SS304,SS304
1037,117633                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 2.750""            ",[SS.304],P,2,24101210                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 70MM               ,[SS.304],B,SS304,SS304
1039,117633                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 2.750""            ",[SS.304],P,4,24104772                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 70MM               ,[SS.304],P,SS304,SS304
1047,118184                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 2.250""            ",[SS.304],P,2,107234                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 60MM                ,[SS.304],P,SS304,SS304
1051,118184                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 2.250""            ",[SS.304],P,6,182702                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 60MM                ,[SS.304],P,SS304,SS304
1053,118185                   ,HEX.NUT                       ,#10-24UNC                     ,[SS.304],P,2,24101212                 ,HEX.NUT                       ,M5-0.80                       ,[SS.304],B,SS304,SS304
1055,118185                   ,HEX.NUT                       ,#10-24UNC                     ,[SS.304],P,4,24104838                 ,HEX.NUT                       ,M5-0.80                       ,[SS.304],P,SS304,SS304
1077,118248                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 2.000""            ",[SS.304],P,2,107731                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 50MM               ,[SS.304],B,SS304,SS304
1079,118248                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 2.000""            ",[SS.304],P,4,118247                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 50MM               ,[SS.304],P,SS304,SS304
1111,118571                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 0.625""            ",[SS.304],P,2,24101193                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 16MM                ,[SS.304],B,SS304,SS304
1113,118571                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 0.625""            ",[SS.304],P,4,24104921                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 16MM                ,[SS.304],P,SS304,SS304
1147,118366                   ,HEX.JAM NUT                   ,3/4-10UNC                     ,[SS.304],B,2,107384                   ,HEX.JAM NUT                   ,M20-2.50                      ,[SS.304],B,SS304,SS304
1149,118366                   ,HEX.JAM NUT                   ,3/4-10UNC                     ,[SS.304],B,4,118367                   ,HEX.JAM NUT                   ,M20-2.50                      ,[SS.304],P,SS304,SS304
1159,118372                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 3.500""            ",[SS.304],P,2,108475                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 90MM               ,[SS.304],B,SS304,SS304
1161,118372                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 3.500""            ",[SS.304],P,4,118374                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 90MM               ,[SS.304],P,SS304,SS304
1249,117660                   ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 2.500""            ",[SS.304],P,4,24104796                 ,HEX.SOC.CAP SCREW             ,M6-1.00 X 60MM                ,[SS.304],P,SS304,SS304
