,file_name,jde
83,VTHE_0.625-11X3.250_GR5.par,114077
84,BCCC_0.375-16X9.000.PAR,114087
85,VP_M06-1.00X020_KP.PAR,114170
86,VTCY_M16-2.00X040.par,114181
87,VTHE_0.375-16X8.000_GR5.par,115898
88,BCCC_0.375-16X8.000.PAR,115903
89,VTHE_1.000-8X2.000_GR5.par,115960
90,VTFR_0.375-24X0.750.par,116087
91,VTCY_M10-1.50X050.par,116105
92,VTCY_M10-1.50X055.par,116106
93,VTHE_M08-1.25X100_CLS8.8.par,116363
94,VTHE_M08-1.25X120_CLS8.8.par,116364
95,VP_0.625-11X0.750.PAR,116405
96,VTHE_0.313-24X0.750_SS.par,116427
97,VTHE_M08-1.25X110_CLS8.8.par,116435
98,VTHE_0.190-24X1.000_GR2.par,116968
99,VTFR_0.500-13X4.000.par,117061
100,VTCY_M10-1.50X035_SS.PAR,117113
101,VTHE_0.313-18X6.000_GR5.par,117149
102,VTFR_0.313-18X4.000.par,117320
103,VTHE_0.438-20X3.000_GR12.par,117356
105,VTHE_0.375-16X1.750_SS.par,117463
107,VTHE_0.500-13X1.750_SS.par,117464
108,VTFR_0.500-13X3.500.par,117514
109,VTCY_M14-2.00X035.par,117527
110,VTHE_0.190-24X0.750_GR2.par,117531
111,VTFR_0.313-18X2.000_SS.par,117533
112,VTCY_0.375-16X1.750.par,117539
113,VP_0.190-24X0.750_SS.PAR,117586
114,VTHE_M08-1.25X060_SS.par,117587
115,VP_0.250-20X0.750_SS.PAR,117588
117,VTHE_0.250-20X2.250_SS.par,117589
119,VTCY_0.190-24X1.250_SS.par,117590
120,VTHE_0.625-11X4.500_SS.par,117591
121,VTHE_0.625-11X3.500_SS.par,117592
122,VTHE_0.500-13X3.000_SS.par,117609
123,VTHE_0.375-16X7.500_GR5.par,117611
125,VTHE_0.375-16X7.500_SS.par,117612
127,VTHE_0.313-18X2.750_SS.par,117613
128,VP_0.250-20X0.375_SS.PAR,117614
129,VTFR_0.313-18X1.250_SS.par,117616
130,VTFR_0.313-18X1.500_SS.par,117617
131,VTHE_M12-1.75X040_SS.par,117618
132,VTHE_M12-1.75X060_SS.par,117619
133,VTHE_0.625-11X2.250_SS.par,117620
134,VTHE_0.250-20X3.000_SS.par,117621
135,VTHE_0.313-18X2.000_SS.par,117622
136,VTHE_0.250-20X1.500_SS.par,117623
137,VTCY_0.250-20X2.750_SS.par,117624
138,VP_0.138-32X0.250_SS.PAR,117625
139,VTCY_0.375-16X1.500_SS.par,117626
140,VTHE_0.625-11X2.750_SS.par,117627
141,VTHE_0.500-13X2.250_SS.par,117628
142,VTFR_0.375-16X2.500_SS.par,117629
143,VTHE_0.375-16X3.250_SS.par,117630
144,VTHE_0.438-14X3.000_SS.par,117631
145,VTHE_0.438-14X1.000_SS.par,117632
146,VTHE_0.375-16X2.750_SS.par,117633
